round,clone,count
1,#F751CC,1
1,#30ECEA,1
1,#BCCEF4,1
1,#7D016C,1
1,#332364,1
1,#B44564,1
1,#41D085,1
1,#FF3453,1
1,#68B7F6,1
1,#A54B95,1
1,#A585D5,1
1,#6D8CBF,1
1,#8993AB,1
1,#FB5195,1
1,#74B6C8,1
1,#D8FB81,1
1,#DDAC99,1
1,#8E1743,1
1,#E94B7A,1
1,#930CDE,1
2,#F751CC,1
2,#30ECEA,1
2,#BCCEF4,1
2,#7D016C,1
2,#332364,1
2,#B44564,1
2,#41D085,1
2,#FF3453,1
2,#68B7F6,1
2,#A54B95,1
2,#A585D5,1
2,#6D8CBF,1
2,#8993AB,1
2,#FB5195,1
2,#74B6C8,2
2,#D8FB81,1
2,#DDAC99,1
2,#8E1743,1
2,#E94B7A,1
2,#930CDE,1
3,#F751CC,1
3,#30ECEA,1
3,#BCCEF4,1
3,#7D016C,1
3,#332364,1
3,#B44564,1
3,#41D085,1
3,#FF3453,1
3,#68B7F6,1
3,#A54B95,1
3,#A585D5,1
3,#6D8CBF,1
3,#8993AB,1
3,#FB5195,1
3,#74B6C8,2
3,#D8FB81,1
3,#DDAC99,1
3,#8E1743,1
3,#E94B7A,1
3,#930CDE,1
4,#F751CC,1
4,#30ECEA,1
4,#BCCEF4,1
4,#7D016C,1
4,#332364,1
4,#B44564,1
4,#41D085,1
4,#FF3453,1
4,#68B7F6,1
4,#A54B95,1
4,#A585D5,1
4,#6D8CBF,1
4,#8993AB,1
4,#FB5195,2
4,#74B6C8,2
4,#D8FB81,1
4,#DDAC99,1
4,#8E1743,1
4,#E94B7A,1
4,#930CDE,1
5,#F751CC,1
5,#30ECEA,1
5,#BCCEF4,1
5,#7D016C,1
5,#332364,1
5,#B44564,1
5,#41D085,1
5,#FF3453,1
5,#68B7F6,1
5,#A54B95,1
5,#A585D5,1
5,#6D8CBF,1
5,#8993AB,1
5,#FB5195,3
5,#74B6C8,2
5,#D8FB81,1
5,#DDAC99,1
5,#8E1743,1
5,#E94B7A,1
5,#930CDE,1
6,#F751CC,1
6,#30ECEA,1
6,#BCCEF4,1
6,#7D016C,1
6,#332364,1
6,#B44564,1
6,#41D085,1
6,#FF3453,1
6,#68B7F6,1
6,#A54B95,1
6,#A585D5,1
6,#6D8CBF,1
6,#8993AB,1
6,#FB5195,3
6,#74B6C8,2
6,#D8FB81,1
6,#DDAC99,1
6,#8E1743,1
6,#E94B7A,1
6,#930CDE,1
7,#F751CC,1
7,#30ECEA,1
7,#BCCEF4,1
7,#7D016C,1
7,#332364,1
7,#B44564,1
7,#41D085,1
7,#FF3453,1
7,#68B7F6,1
7,#A54B95,1
7,#A585D5,1
7,#6D8CBF,1
7,#8993AB,1
7,#FB5195,3
7,#74B6C8,2
7,#D8FB81,1
7,#DDAC99,1
7,#8E1743,1
7,#E94B7A,1
7,#930CDE,1
8,#F751CC,1
8,#30ECEA,1
8,#BCCEF4,1
8,#7D016C,1
8,#332364,1
8,#B44564,1
8,#41D085,1
8,#FF3453,1
8,#68B7F6,1
8,#A54B95,1
8,#A585D5,1
8,#6D8CBF,1
8,#8993AB,1
8,#FB5195,3
8,#74B6C8,3
8,#D8FB81,1
8,#DDAC99,1
8,#8E1743,1
