round,clone,count
1,#8FD37A,1
1,#17B63B,1
1,#99DC45,1
1,#5A1A82,1
1,#0EE899,1
1,#15ED43,1
1,#41D225,1
1,#116F5D,1
1,#3FEE59,1
1,#30B1E9,1
1,#CE0720,1
1,#93608F,1
1,#7298E6,1
1,#E3A22A,1
1,#074D34,1
1,#893664,1
1,#CF9D05,1
1,#7525A9,1
1,#8E6DB6,1
1,#E4F42D,1
1,#DA4111,1
1,#A300E8,1
1,#7149E6,1
1,#15CD0A,1
1,#E0EC84,1
1,#0C7041,1
1,#6DF412,1
1,#40AD4F,1
1,#C9AB7B,1
1,#B3AD0D,1
1,#DA9093,1
1,#121557,1
1,#52A831,1
1,#F5FC59,1
1,#74097E,1
1,#8F18D9,1
1,#1E90C4,1
1,#46D4B7,1
1,#07C859,1
1,#7E755B,1
1,#F2C618,1
1,#29FADF,1
1,#56C493,1
1,#C886B3,1
1,#2981F0,1
1,#BA041A,1
1,#78EBF7,1
1,#E54D70,1
1,#E2D9AA,1
1,#40F569,1
1,#A43A89,1
1,#7C1151,1
1,#591899,1
1,#782D1F,1
1,#AAE0B9,1
1,#EFBE84,1
1,#E80C65,1
1,#2E2530,1
1,#0FDCDE,1
1,#CCDE70,1
1,#09BCF7,1
1,#C64A61,1
1,#E8B028,1
1,#D7EBE0,1
1,#F6B018,1
1,#B9BD8B,1
1,#5EE8C7,1
1,#02F7D3,1
1,#B9459D,1
1,#EF5417,1
1,#24D102,1
1,#7D2A1A,1
1,#BA49DC,1
1,#BD7829,1
1,#A83E64,1
1,#1F6034,1
1,#E299F0,1
1,#58F30A,1
1,#139B50,1
1,#E0D4B2,1
1,#37953D,1
1,#275880,1
1,#3E68C8,1
1,#0D5502,1
1,#039390,1
1,#63BB89,1
1,#44D03E,1
1,#0DA7C1,1
1,#E5C00B,1
1,#B06DA3,1
1,#ACD686,1
1,#826928,1
1,#735CCF,1
1,#4B0287,1
1,#16C5C6,1
1,#B3C502,1
1,#93E61A,1
1,#0B3A55,1
1,#8B4B4E,1
1,#E0315B,1
2,#8FD37A,1
2,#17B63B,1
2,#99DC45,1
2,#5A1A82,1
2,#0EE899,1
2,#15ED43,1
2,#41D225,1
2,#116F5D,1
2,#3FEE59,1
2,#30B1E9,1
2,#CE0720,1
2,#93608F,1
2,#7298E6,1
2,#E3A22A,1
2,#074D34,1
2,#893664,1
2,#CF9D05,1
2,#7525A9,1
2,#8E6DB6,1
2,#E4F42D,1
2,#DA4111,1
2,#A300E8,1
2,#7149E6,1
2,#15CD0A,1
2,#E0EC84,1
2,#0C7041,1
2,#6DF412,1
2,#40AD4F,1
2,#C9AB7B,1
2,#B3AD0D,1
2,#DA9093,1
2,#121557,1
2,#52A831,1
2,#F5FC59,1
2,#74097E,1
2,#8F18D9,1
2,#1E90C4,1
2,#46D4B7,1
2,#07C859,1
2,#7E755B,1
2,#F2C618,1
2,#29FADF,1
2,#56C493,1
2,#C886B3,1
2,#2981F0,1
2,#BA041A,1
2,#78EBF7,1
2,#E54D70,1
2,#E2D9AA,1
2,#40F569,1
2,#A43A89,1
2,#7C1151,1
2,#591899,1
2,#782D1F,1
2,#AAE0B9,1
2,#EFBE84,1
2,#E80C65,1
2,#2E2530,1
2,#0FDCDE,1
2,#CCDE70,1
2,#09BCF7,1
2,#C64A61,1
2,#E8B028,1
2,#D7EBE0,1
2,#F6B018,1
2,#B9BD8B,1
2,#5EE8C7,1
2,#02F7D3,1
2,#B9459D,1
2,#EF5417,1
2,#24D102,1
2,#7D2A1A,1
2,#BA49DC,1
2,#BD7829,1
2,#A83E64,1
2,#1F6034,1
2,#E299F0,1
2,#58F30A,1
2,#139B50,1
2,#E0D4B2,1
2,#37953D,1
2,#275880,1
2,#3E68C8,1
2,#0D5502,1
2,#039390,1
2,#63BB89,1
2,#44D03E,1
2,#0DA7C1,1
2,#E5C00B,1
2,#B06DA3,1
2,#ACD686,1
2,#826928,1
2,#735CCF,1
2,#4B0287,1
2,#16C5C6,1
2,#B3C502,1
2,#93E61A,1
2,#0B3A55,1
2,#8B4B4E,1
2,#E0315B,1
3,#8FD37A,1
3,#17B63B,1
3,#99DC45,1
3,#5A1A82,1
3,#0EE899,1
3,#15ED43,1
3,#41D225,1
3,#116F5D,1
3,#3FEE59,1
3,#30B1E9,1
3,#CE0720,1
3,#93608F,1
3,#7298E6,1
3,#E3A22A,1
3,#074D34,1
3,#893664,1
3,#CF9D05,1
3,#7525A9,1
3,#8E6DB6,1
3,#E4F42D,1
3,#DA4111,1
3,#A300E8,1
3,#7149E6,1
3,#15CD0A,1
3,#E0EC84,1
3,#0C7041,1
3,#6DF412,1
3,#40AD4F,1
3,#C9AB7B,1
3,#B3AD0D,1
3,#DA9093,1
3,#121557,1
3,#52A831,1
3,#F5FC59,1
3,#74097E,1
3,#8F18D9,1
3,#1E90C4,1
3,#46D4B7,1
3,#07C859,1
3,#7E755B,1
3,#F2C618,1
3,#29FADF,1
3,#56C493,1
3,#C886B3,1
3,#2981F0,1
3,#BA041A,1
3,#78EBF7,1
3,#E54D70,1
3,#E2D9AA,1
3,#40F569,1
3,#A43A89,1
3,#7C1151,1
3,#591899,1
3,#782D1F,1
3,#AAE0B9,1
3,#EFBE84,1
3,#E80C65,1
3,#2E2530,1
3,#0FDCDE,1
3,#CCDE70,1
3,#09BCF7,1
3,#C64A61,1
3,#E8B028,1
3,#D7EBE0,1
3,#F6B018,1
3,#B9BD8B,1
3,#5EE8C7,1
3,#02F7D3,1
3,#B9459D,1
3,#EF5417,1
3,#24D102,1
3,#7D2A1A,1
3,#BA49DC,1
3,#BD7829,1
3,#A83E64,1
3,#1F6034,1
3,#E299F0,1
3,#58F30A,1
3,#139B50,1
3,#E0D4B2,1
3,#37953D,1
3,#275880,1
3,#3E68C8,1
3,#0D5502,1
3,#039390,1
3,#63BB89,1
3,#44D03E,1
3,#0DA7C1,1
3,#E5C00B,1
3,#B06DA3,1
3,#ACD686,1
3,#826928,2
3,#735CCF,1
3,#4B0287,1
3,#16C5C6,1
3,#B3C502,1
3,#93E61A,1
3,#0B3A55,1
3,#8B4B4E,1
3,#E0315B,1
4,#8FD37A,1
4,#17B63B,1
4,#99DC45,1
4,#5A1A82,1
4,#0EE899,1
4,#15ED43,1
4,#41D225,1
4,#116F5D,1
4,#3FEE59,1
4,#30B1E9,1
4,#CE0720,1
4,#93608F,1
4,#7298E6,1
4,#E3A22A,1
4,#074D34,1
4,#893664,1
4,#CF9D05,1
4,#7525A9,1
4,#8E6DB6,1
4,#E4F42D,1
4,#DA4111,1
4,#A300E8,1
4,#7149E6,1
4,#15CD0A,1
4,#E0EC84,1
4,#0C7041,1
4,#6DF412,1
4,#40AD4F,1
4,#C9AB7B,1
4,#B3AD0D,1
4,#DA9093,1
4,#121557,1
4,#52A831,1
4,#F5FC59,1
4,#74097E,1
4,#8F18D9,1
4,#1E90C4,1
4,#46D4B7,1
4,#07C859,1
4,#7E755B,1
4,#F2C618,1
4,#29FADF,1
4,#56C493,1
4,#C886B3,1
4,#2981F0,1
4,#BA041A,1
4,#78EBF7,1
4,#E54D70,1
4,#E2D9AA,1
4,#40F569,1
4,#A43A89,1
4,#7C1151,1
4,#591899,1
4,#782D1F,1
4,#AAE0B9,1
4,#EFBE84,1
4,#E80C65,1
4,#2E2530,1
4,#0FDCDE,1
4,#CCDE70,1
4,#09BCF7,1
4,#C64A61,1
4,#E8B028,1
4,#D7EBE0,1
4,#F6B018,1
4,#B9BD8B,2
4,#5EE8C7,1
4,#02F7D3,1
4,#B9459D,1
4,#EF5417,1
4,#24D102,1
4,#7D2A1A,1
4,#BA49DC,1
4,#BD7829,1
4,#A83E64,1
4,#1F6034,1
4,#E299F0,1
4,#58F30A,1
4,#139B50,1
4,#E0D4B2,1
4,#37953D,1
4,#275880,1
4,#3E68C8,1
4,#0D5502,1
4,#039390,1
4,#63BB89,1
4,#44D03E,1
4,#0DA7C1,1
4,#E5C00B,1
4,#B06DA3,2
4,#ACD686,1
